ObservationDate,Confirmed,Deaths,Recovered
1/1/2021,20252991,354242,0
1/2/2021,20553301,356749,0
1/3/2021,20762047,358196,0
1/4/2021,20946329,360288,0
1/5/2021,21181440,364002,0
1/6/2021,21436884,367928,0
1/7/2021,21715174,371913,0
1/8/2021,22010389,376020,0
1/9/2021,22271084,379341,0
1/10/2021,22484332,381340,0
1/11/2021,22699326,383443,0
1/12/2021,22926246,387917,0
1/13/2021,23156608,391946,0
1/14/2021,23392315,395932,0
1/15/2021,23635046,399824,0
1/16/2021,23836726,403228,0
1/17/2021,24014508,405125,0
1/18/2021,24157924,406660,0
1/19/2021,24334630,409392,0
1/20/2021,24517866,413800,0
1/21/2021,24711684,418004,0
1/22/2021,24902437,421849,0
1/23/2021,25073050,425194,0
1/24/2021,25204112,427093,0
1/25/2021,25356081,429066,0
1/26/2021,25503621,433073,0
1/27/2021,25657566,437033,0
1/28/2021,25826176,441070,0
1/29/2021,25992744,444704,0
1/30/2021,26135056,447490,0
1/31/2021,26247053,449341,0
2/1/2021,26382255,451408,0
2/2/2021,26497588,454837,0
2/3/2021,26619229,458743,0
2/4/2021,26743204,462479,0
2/5/2021,26877601,466167,0
2/6/2021,26981588,468808,0
2/7/2021,27071236,470244,0
2/8/2021,27161551,471861,0
2/9/2021,27257183,474935,0
2/10/2021,27352360,478245,0
2/11/2021,27458120,481452,0
2/12/2021,27557758,484381,0
2/13/2021,27644880,486579,0
2/14/2021,27709901,487740,0
2/15/2021,27764087,488698,0
2/16/2021,27826806,490446,0
2/17/2021,27896924,492851,0
2/18/2021,27966848,495370,0
2/19/2021,28046145,498001,0
2/20/2021,28117670,499819,0
2/21/2021,28174750,501066,0
2/22/2021,28230970,502389,0
2/23/2021,28303233,504663,0
2/24/2021,28377965,507841,0
2/25/2021,28455466,510287,0
2/26/2021,28532812,512355,0
2/27/2021,28597387,513870,0
2/28/2021,28648744,514964,0
3/1/2021,28706973,516483,0
3/2/2021,28764033,518433,0
3/3/2021,28831226,520924,0
3/4/2021,28899277,522862,0
3/5/2021,28965728,524647,0
3/6/2021,29023931,526153,0
3/7/2021,29064938,526851,0
3/8/2021,29109974,527591,0
3/9/2021,29167616,529398,0
3/10/2021,29225536,530969,0
3/11/2021,29288010,532536,0
3/12/2021,29349533,534106,0
3/13/2021,29402465,535102,0
3/14/2021,29440686,535682,0
3/15/2021,29497352,536438,0
3/16/2021,29551309,537615,0
3/17/2021,29610445,538847,0
3/18/2021,29670983,540511,0
3/19/2021,29732612,541658,0
3/20/2021,29787986,542400,0
3/21/2021,29821754,542839,0
3/22/2021,29873347,543558,0
3/23/2021,29926950,544434,0
3/24/2021,30013910,545946,0
3/25/2021,30081375,547356,0
3/26/2021,30158696,548507,0
3/27/2021,30221396,549294,0
3/28/2021,30264493,549816,0
3/29/2021,30333922,550525,0
3/30/2021,30395171,551407,0
3/31/2021,30462210,552495,0
4/1/2021,30541255,553570,0
4/2/2021,30611086,554520,0
4/3/2021,30674153,555254,0
4/4/2021,30709125,555543,0
4/5/2021,30786804,556056,0
4/6/2021,30847348,556910,0
4/7/2021,30922386,559496,0
4/8/2021,31002264,560508,0
4/9/2021,31084962,561388,0
4/10/2021,31151497,562101,0
4/11/2021,31197877,562390,0
4/12/2021,31268107,562861,0
4/13/2021,31345985,563688,0
4/14/2021,31421360,564646,0
4/15/2021,31495649,565539,0
4/16/2021,31575640,566405,0
4/17/2021,31628013,567086,0
4/18/2021,31670031,567404,0
4/19/2021,31737964,567886,0
4/20/2021,31799237,568711,0
4/21/2021,31862094,569555,0
4/22/2021,31929351,570499,0
4/23/2021,31991750,571263,0
4/24/2021,32045113,571987,0
4/25/2021,32077178,572266,0
4/26/2021,32124869,572740,0
4/27/2021,32175725,573381,0
4/28/2021,32230850,574340,0
4/29/2021,32289049,575194,0
4/30/2021,32346971,576232,0
5/1/2021,32392274,576722,0
5/2/2021,32421534,577045,0
