Entity,Day,daily_vaccinations
Alabama,2021-01-13,5906
Alabama,2021-01-14,7083
Alabama,2021-01-15,7478
Alabama,2021-01-16,7498
Alabama,2021-01-17,7509
Alabama,2021-01-18,7517
Alabama,2021-01-19,7523
Alabama,2021-01-20,7880
Alabama,2021-01-21,10517
Alabama,2021-01-22,14107
Alabama,2021-01-23,16202
Alabama,2021-01-24,18294
Alabama,2021-01-25,18196
Alabama,2021-01-26,17738
Alabama,2021-01-27,18178
Alabama,2021-01-28,16153
Alabama,2021-01-29,14514
Alabama,2021-01-30,17271
Alabama,2021-01-31,15748
Alabama,2021-02-01,15381
Alabama,2021-02-02,16703
Alabama,2021-02-03,17414
Alabama,2021-02-04,18491
Alabama,2021-02-05,18526
Alabama,2021-02-06,16105
Alabama,2021-02-07,15480
Alabama,2021-02-08,15622
Alabama,2021-02-09,17012
Alabama,2021-02-10,18209
Alabama,2021-02-11,19258
Alabama,2021-02-12,20074
Alabama,2021-02-13,20855
Alabama,2021-02-14,21417
Alabama,2021-02-15,22405
Alabama,2021-02-16,20816
Alabama,2021-02-17,19174
Alabama,2021-02-18,18400
Alabama,2021-02-19,24002
Alabama,2021-02-20,25111
Alabama,2021-02-21,25194
Alabama,2021-02-22,24164
Alabama,2021-02-23,25489
Alabama,2021-02-24,27098
Alabama,2021-02-25,27531
Alabama,2021-02-26,22104
Alabama,2021-02-27,22022
Alabama,2021-02-28,21984
Alabama,2021-03-01,22111
Alabama,2021-03-02,22436
Alabama,2021-03-03,22904
Alabama,2021-03-04,23916
Alabama,2021-03-05,24388
Alabama,2021-03-06,24087
Alabama,2021-03-07,23947
Alabama,2021-03-08,24040
Alabama,2021-03-09,24118
Alabama,2021-03-10,24827
Alabama,2021-03-11,25376
Alabama,2021-03-12,26375
Alabama,2021-03-13,26935
Alabama,2021-03-14,26926
Alabama,2021-03-15,27106
Alabama,2021-03-16,27331
Alabama,2021-03-17,27167
Alabama,2021-03-18,25752
Alabama,2021-03-19,25356
Alabama,2021-03-20,24649
Alabama,2021-03-21,24865
Alabama,2021-03-22,24693
Alabama,2021-03-23,25307
Alabama,2021-03-24,25490
Alabama,2021-03-25,27004
Alabama,2021-03-26,26387
Alabama,2021-03-27,26439
Alabama,2021-03-28,26634
Alabama,2021-03-29,26759
Alabama,2021-03-30,26885
Alabama,2021-03-31,26617
Alabama,2021-04-01,27555
Alabama,2021-04-02,28865
Alabama,2021-04-03,28769
Alabama,2021-04-04,28533
Alabama,2021-04-05,28325
Alabama,2021-04-06,28468
Alabama,2021-04-07,29498
Alabama,2021-04-08,29195
Alabama,2021-04-09,29696
Alabama,2021-04-10,31155
Alabama,2021-04-11,31967
Alabama,2021-04-12,32519
Alabama,2021-04-13,32914
Alabama,2021-04-14,33381
Alabama,2021-04-15,33007
Alabama,2021-04-16,32034
Alabama,2021-04-17,30766
Alabama,2021-04-18,29953
Alabama,2021-04-19,29296
Alabama,2021-04-20,28635
Alabama,2021-04-21,27377
Alabama,2021-04-22,26702
Alabama,2021-04-23,26294
Alaska,2021-01-13,2842
Alaska,2021-01-14,3379
Alaska,2021-01-15,4400
Alaska,2021-01-16,4381
Alaska,2021-01-17,4369
Alaska,2021-01-18,4362
Alaska,2021-01-19,4356
Alaska,2021-01-20,4230
Alaska,2021-01-21,4187
Alaska,2021-01-22,4580
Alaska,2021-01-23,4997
Alaska,2021-01-24,5225
Alaska,2021-01-25,5003
Alaska,2021-01-26,4545
Alaska,2021-01-27,4758
Alaska,2021-01-28,4850
Alaska,2021-01-29,4186
Alaska,2021-01-30,3846
Alaska,2021-01-31,3619
Alaska,2021-02-01,3570
Alaska,2021-02-02,3613
Alaska,2021-02-03,3453
Alaska,2021-02-04,3440
Alaska,2021-02-05,3372
Alaska,2021-02-06,3411
Alaska,2021-02-07,3785
Alaska,2021-02-08,4131
Alaska,2021-02-09,4204
Alaska,2021-02-10,4356
Alaska,2021-02-11,4620
Alaska,2021-02-12,4776
Alaska,2021-02-13,5142
Alaska,2021-02-14,5393
Alaska,2021-02-15,5212
Alaska,2021-02-16,5448
Alaska,2021-02-17,5337
Alaska,2021-02-18,5268
Alaska,2021-02-19,6970
Alaska,2021-02-20,7466
Alaska,2021-02-21,7330
Alaska,2021-02-22,7266
Alaska,2021-02-23,6988
Alaska,2021-02-24,7148
Alaska,2021-02-25,7201
Alaska,2021-02-26,5444
Alaska,2021-02-27,4591
